Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit ,GPA_Category,GRE Score Scaled,GPA_Category_LE,GPA_High,GPA_Low,GPA_Medium
28,298,98,2,1.5,2.5,7.5,1,0.44,Medium,0.16000000000000014,2,False,False,True
29,295,93,1,2.0,2.0,7.2,0,0.46,Medium,0.10000000000000053,2,False,False,True
30,310,99,2,1.5,2.0,7.3,0,0.54,Medium,0.40000000000000036,2,False,False,True
31,300,97,2,3.0,3.0,8.1,1,0.65,Medium,0.20000000000000018,2,False,False,True
32,327,103,3,4.0,4.0,8.3,1,0.74,Medium,0.7400000000000002,2,False,False,True
33,338,118,4,3.0,4.5,9.4,1,0.91,High,0.96,0,True,False,False
34,340,114,5,4.0,4.0,9.6,1,0.9,High,1.0,0,True,False,False
35,331,112,5,4.0,5.0,9.8,1,0.94,High,0.8200000000000003,0,True,False,False
36,320,110,5,5.0,5.0,9.2,1,0.88,High,0.6000000000000005,0,True,False,False
37,299,106,2,4.0,4.0,8.4,0,0.64,Medium,0.1800000000000006,2,False,False,True
38,300,105,1,1.0,2.0,7.8,0,0.58,Medium,0.20000000000000018,2,False,False,True
39,304,105,1,3.0,1.5,7.5,0,0.52,Medium,0.28000000000000025,2,False,False,True
40,307,108,2,4.0,3.5,7.7,0,0.48,Medium,0.34000000000000075,2,False,False,True
41,308,110,3,3.5,3.0,8.0,1,0.46,Medium,0.3600000000000003,2,False,False,True
42,316,105,2,2.5,2.5,8.2,1,0.49,Medium,0.5200000000000005,2,False,False,True
43,313,107,2,2.5,2.0,8.5,1,0.53,High,0.45999999999999996,0,True,False,False
44,332,117,4,4.5,4.0,9.1,0,0.87,High,0.8400000000000007,0,True,False,False
45,326,113,5,4.5,4.0,9.4,1,0.91,High,0.7200000000000006,0,True,False,False
46,322,110,5,5.0,4.0,9.1,1,0.88,High,0.6400000000000006,0,True,False,False
47,329,114,5,4.0,5.0,9.3,1,0.86,High,0.7800000000000002,0,True,False,False
48,339,119,5,4.5,4.0,9.7,0,0.89,High,0.9800000000000004,0,True,False,False
49,321,110,3,3.5,5.0,8.85,1,0.82,High,0.6200000000000001,0,True,False,False
50,327,111,4,3.0,4.0,8.4,1,0.78,Medium,0.7400000000000002,2,False,False,True
51,313,98,3,2.5,4.5,8.3,1,0.76,Medium,0.45999999999999996,2,False,False,True
52,312,100,2,1.5,3.5,7.9,1,0.56,Medium,0.4400000000000004,2,False,False,True
53,334,116,4,4.0,3.0,8.0,1,0.78,Medium,0.8799999999999999,2,False,False,True
54,324,112,4,4.0,2.5,8.1,1,0.72,Medium,0.6800000000000006,2,False,False,True
55,322,110,3,3.0,3.5,8.0,0,0.7,Medium,0.6400000000000006,2,False,False,True
56,320,103,3,3.0,3.0,7.7,0,0.64,Medium,0.6000000000000005,2,False,False,True
57,316,102,3,2.0,3.0,7.4,0,0.64,Medium,0.5200000000000005,2,False,False,True
58,298,99,2,4.0,2.0,7.6,0,0.46,Medium,0.16000000000000014,2,False,False,True
59,300,99,1,3.0,2.0,6.8,1,0.36,Low,0.20000000000000018,1,False,True,False
60,311,104,2,2.0,2.0,8.3,0,0.42,Medium,0.41999999999999993,2,False,False,True
61,309,100,2,3.0,3.0,8.1,0,0.48,Medium,0.3799999999999999,2,False,False,True
62,307,101,3,4.0,3.0,8.2,0,0.47,Medium,0.34000000000000075,2,False,False,True
63,304,105,2,3.0,3.0,8.2,1,0.54,Medium,0.28000000000000025,2,False,False,True
64,315,107,2,4.0,3.0,8.5,1,0.56,High,0.5,0,True,False,False
65,325,111,3,3.0,3.5,8.7,0,0.52,High,0.7000000000000002,0,True,False,False
66,325,112,4,3.5,3.5,8.92,0,0.55,High,0.7000000000000002,0,True,False,False
67,327,114,3,3.0,3.0,9.02,0,0.61,High,0.7400000000000002,0,True,False,False
68,316,107,2,3.5,3.5,8.64,1,0.57,High,0.5200000000000005,0,True,False,False
69,318,109,3,3.5,4.0,9.22,1,0.68,High,0.5600000000000005,0,True,False,False
70,328,115,4,4.5,4.0,9.16,1,0.78,High,0.7600000000000007,0,True,False,False
71,332,118,5,5.0,5.0,9.64,1,0.94,High,0.8400000000000007,0,True,False,False
72,336,112,5,5.0,5.0,9.76,1,0.96,High,0.9199999999999999,0,True,False,False
73,321,111,5,5.0,5.0,9.45,1,0.93,High,0.6200000000000001,0,True,False,False
74,314,108,4,4.5,4.0,9.04,1,0.84,High,0.4800000000000004,0,True,False,False
75,314,106,3,3.0,5.0,8.9,0,0.74,High,0.4800000000000004,0,True,False,False
76,329,114,2,2.0,4.0,8.56,1,0.72,High,0.7800000000000002,0,True,False,False
77,327,112,3,3.0,3.0,8.72,1,0.74,High,0.7400000000000002,0,True,False,False
78,301,99,2,3.0,2.0,8.22,0,0.64,Medium,0.22000000000000064,2,False,False,True
79,296,95,2,3.0,2.0,7.54,1,0.44,Medium,0.1200000000000001,2,False,False,True
80,294,93,1,1.5,2.0,7.36,0,0.46,Medium,0.08000000000000007,2,False,False,True
81,312,105,3,2.0,3.0,8.02,1,0.5,Medium,0.4400000000000004,2,False,False,True
82,340,120,4,5.0,5.0,9.5,1,0.96,High,1.0,0,True,False,False
83,320,110,5,5.0,4.5,9.22,1,0.92,High,0.6000000000000005,0,True,False,False
84,322,115,5,4.0,4.5,9.36,1,0.92,High,0.6400000000000006,0,True,False,False
85,340,115,5,4.5,4.5,9.45,1,0.94,High,1.0,0,True,False,False
86,319,103,4,4.5,3.5,8.66,0,0.76,High,0.5800000000000001,0,True,False,False
87,315,106,3,4.5,3.5,8.42,0,0.72,Medium,0.5,2,False,False,True
88,317,107,2,3.5,3.0,8.28,0,0.66,Medium,0.54,2,False,False,True
89,314,108,3,4.5,3.5,8.14,0,0.64,Medium,0.4800000000000004,2,False,False,True
90,316,109,4,4.5,3.5,8.76,1,0.74,High,0.5200000000000005,0,True,False,False
91,318,106,2,4.0,4.0,7.92,1,0.64,Medium,0.5600000000000005,2,False,False,True
92,299,97,3,5.0,3.5,7.66,0,0.38,Medium,0.1800000000000006,2,False,False,True
93,298,98,2,4.0,3.0,8.03,0,0.34,Medium,0.16000000000000014,2,False,False,True
94,301,97,2,3.0,3.0,7.88,1,0.44,Medium,0.22000000000000064,2,False,False,True
95,303,99,3,2.0,2.5,7.66,0,0.36,Medium,0.2600000000000007,2,False,False,True
96,304,100,4,1.5,2.5,7.84,0,0.42,Medium,0.28000000000000025,2,False,False,True
97,306,100,2,3.0,3.0,8.0,0,0.48,Medium,0.3200000000000003,2,False,False,True
98,331,120,3,4.0,4.0,8.96,1,0.86,High,0.8200000000000003,0,True,False,False
99,332,119,4,5.0,4.5,9.24,1,0.9,High,0.8400000000000007,0,True,False,False
100,323,113,3,4.0,4.0,8.88,1,0.79,High,0.6600000000000001,0,True,False,False
101,322,107,3,3.5,3.5,8.46,1,0.71,Medium,0.6400000000000006,2,False,False,True
102,312,105,2,2.5,3.0,8.12,0,0.64,Medium,0.4400000000000004,2,False,False,True
103,314,106,2,4.0,3.5,8.25,0,0.62,Medium,0.4800000000000004,2,False,False,True
104,317,104,2,4.5,4.0,8.47,0,0.57,Medium,0.54,2,False,False,True
105,326,112,3,3.5,3.0,9.05,1,0.74,High,0.7200000000000006,0,True,False,False
106,316,110,3,4.0,4.5,8.78,1,0.69,High,0.5200000000000005,0,True,False,False
107,329,111,4,4.5,4.5,9.18,1,0.87,High,0.7800000000000002,0,True,False,False
108,338,117,4,3.5,4.5,9.46,1,0.91,High,0.96,0,True,False,False
109,331,116,5,5.0,5.0,9.38,1,0.93,High,0.8200000000000003,0,True,False,False
110,304,103,5,5.0,4.0,8.64,0,0.68,High,0.28000000000000025,0,True,False,False
111,305,108,5,3.0,3.0,8.48,0,0.61,Medium,0.3000000000000007,2,False,False,True
112,321,109,4,4.0,4.0,8.68,1,0.69,High,0.6200000000000001,0,True,False,False
113,301,107,3,3.5,3.5,8.34,1,0.62,Medium,0.22000000000000064,2,False,False,True
114,320,110,2,4.0,3.5,8.56,0,0.72,High,0.6000000000000005,0,True,False,False
115,311,105,3,3.5,3.0,8.45,1,0.59,Medium,0.41999999999999993,2,False,False,True
116,310,106,4,4.5,4.5,9.04,1,0.66,High,0.40000000000000036,0,True,False,False
117,299,102,3,4.0,3.5,8.62,0,0.56,High,0.1800000000000006,0,True,False,False
118,290,104,4,2.0,2.5,7.46,0,0.45,Medium,0.0,2,False,False,True
119,296,99,2,3.0,3.5,7.28,0,0.47,Medium,0.1200000000000001,2,False,False,True
120,327,104,5,3.0,3.5,8.84,1,0.71,High,0.7400000000000002,0,True,False,False
121,335,117,5,5.0,5.0,9.56,1,0.94,High,0.9000000000000004,0,True,False,False
122,334,119,5,4.5,4.5,9.48,1,0.94,High,0.8799999999999999,0,True,False,False
123,310,106,4,1.5,2.5,8.36,0,0.57,Medium,0.40000000000000036,2,False,False,True
124,308,108,3,3.5,3.5,8.22,0,0.61,Medium,0.3600000000000003,2,False,False,True
125,301,106,4,2.5,3.0,8.47,0,0.57,Medium,0.22000000000000064,2,False,False,True
126,300,100,3,2.0,3.0,8.66,1,0.64,High,0.20000000000000018,0,True,False,False
127,323,113,3,4.0,3.0,9.32,1,0.85,High,0.6600000000000001,0,True,False,False
128,319,112,3,2.5,2.0,8.71,1,0.78,High,0.5800000000000001,0,True,False,False
129,326,112,3,3.5,3.0,9.1,1,0.84,High,0.7200000000000006,0,True,False,False
130,333,118,5,5.0,5.0,9.35,1,0.92,High,0.8600000000000003,0,True,False,False
131,339,114,5,4.0,4.5,9.76,1,0.96,High,0.9800000000000004,0,True,False,False
132,303,105,5,5.0,4.5,8.65,0,0.77,High,0.2600000000000007,0,True,False,False
133,309,105,5,3.5,3.5,8.56,0,0.71,High,0.3799999999999999,0,True,False,False
134,323,112,5,4.0,4.5,8.78,0,0.79,High,0.6600000000000001,0,True,False,False
135,333,113,5,4.0,4.0,9.28,1,0.89,High,0.8600000000000003,0,True,False,False
136,314,109,4,3.5,4.0,8.77,1,0.82,High,0.4800000000000004,0,True,False,False
137,312,103,3,5.0,4.0,8.45,0,0.76,Medium,0.4400000000000004,2,False,False,True
138,316,100,2,1.5,3.0,8.16,1,0.71,Medium,0.5200000000000005,2,False,False,True
139,326,116,2,4.5,3.0,9.08,1,0.8,High,0.7200000000000006,0,True,False,False
140,318,109,1,3.5,3.5,9.12,0,0.78,High,0.5600000000000005,0,True,False,False
141,329,110,2,4.0,3.0,9.15,1,0.84,High,0.7800000000000002,0,True,False,False
142,332,118,2,4.5,3.5,9.36,1,0.9,High,0.8400000000000007,0,True,False,False
143,331,115,5,4.0,3.5,9.44,1,0.92,High,0.8200000000000003,0,True,False,False
144,340,120,4,4.5,4.0,9.92,1,0.97,High,1.0,0,True,False,False
145,325,112,2,3.0,3.5,8.96,1,0.8,High,0.7000000000000002,0,True,False,False
146,320,113,2,2.0,2.5,8.64,1,0.81,High,0.6000000000000005,0,True,False,False
147,315,105,3,2.0,2.5,8.48,0,0.75,Medium,0.5,2,False,False,True
148,326,114,3,3.0,3.0,9.11,1,0.83,High,0.7200000000000006,0,True,False,False
149,339,116,4,4.0,3.5,9.8,1,0.96,High,0.9800000000000004,0,True,False,False
150,311,106,2,3.5,3.0,8.26,1,0.79,Medium,0.41999999999999993,2,False,False,True
151,334,114,4,4.0,4.0,9.43,1,0.93,High,0.8799999999999999,0,True,False,False
152,332,116,5,5.0,5.0,9.28,1,0.94,High,0.8400000000000007,0,True,False,False
153,321,112,5,5.0,5.0,9.06,1,0.86,High,0.6200000000000001,0,True,False,False
154,324,105,3,3.0,4.0,8.75,0,0.79,High,0.6800000000000006,0,True,False,False
155,326,108,3,3.0,3.5,8.89,0,0.8,High,0.7200000000000006,0,True,False,False
156,312,109,3,3.0,3.0,8.69,0,0.77,High,0.4400000000000004,0,True,False,False
157,315,105,3,2.0,2.5,8.34,0,0.7,Medium,0.5,2,False,False,True
158,309,104,2,2.0,2.5,8.26,0,0.65,Medium,0.3799999999999999,2,False,False,True
159,306,106,2,2.0,2.5,8.14,0,0.61,Medium,0.3200000000000003,2,False,False,True
160,297,100,1,1.5,2.0,7.9,0,0.52,Medium,0.14000000000000057,2,False,False,True
161,315,103,1,1.5,2.0,7.86,0,0.57,Medium,0.5,2,False,False,True
162,298,99,1,1.5,3.0,7.46,0,0.53,Medium,0.16000000000000014,2,False,False,True
163,318,109,3,3.0,3.0,8.5,0,0.67,High,0.5600000000000005,0,True,False,False
164,317,105,3,3.5,3.0,8.56,0,0.68,High,0.54,0,True,False,False
165,329,111,4,4.5,4.0,9.01,1,0.81,High,0.7800000000000002,0,True,False,False
166,322,110,5,4.5,4.0,8.97,0,0.78,High,0.6400000000000006,0,True,False,False
167,302,102,3,3.5,5.0,8.33,0,0.65,Medium,0.2400000000000002,2,False,False,True
168,313,102,3,2.0,3.0,8.27,0,0.64,Medium,0.45999999999999996,2,False,False,True
169,293,97,2,2.0,4.0,7.8,1,0.64,Medium,0.0600000000000005,2,False,False,True
170,311,99,2,2.5,3.0,7.98,0,0.65,Medium,0.41999999999999993,2,False,False,True
171,312,101,2,2.5,3.5,8.04,1,0.68,Medium,0.4400000000000004,2,False,False,True
172,334,117,5,4.0,4.5,9.07,1,0.89,High,0.8799999999999999,0,True,False,False
173,322,110,4,4.0,5.0,9.13,1,0.86,High,0.6400000000000006,0,True,False,False
174,323,113,4,4.0,4.5,9.23,1,0.89,High,0.6600000000000001,0,True,False,False
175,321,111,4,4.0,4.0,8.97,1,0.87,High,0.6200000000000001,0,True,False,False
176,320,111,4,4.5,3.5,8.87,1,0.85,High,0.6000000000000005,0,True,False,False
177,329,119,4,4.5,4.5,9.16,1,0.9,High,0.7800000000000002,0,True,False,False
178,319,110,3,3.5,3.5,9.04,0,0.82,High,0.5800000000000001,0,True,False,False
179,309,108,3,2.5,3.0,8.12,0,0.72,Medium,0.3799999999999999,2,False,False,True
180,307,102,3,3.0,3.0,8.27,0,0.73,Medium,0.34000000000000075,2,False,False,True
181,300,104,3,3.5,3.0,8.16,0,0.71,Medium,0.20000000000000018,2,False,False,True
182,305,107,2,2.5,2.5,8.42,0,0.71,Medium,0.3000000000000007,2,False,False,True
183,299,100,2,3.0,3.5,7.88,0,0.68,Medium,0.1800000000000006,2,False,False,True
184,314,110,3,4.0,4.0,8.8,0,0.75,High,0.4800000000000004,0,True,False,False
185,316,106,2,2.5,4.0,8.32,0,0.72,Medium,0.5200000000000005,2,False,False,True
186,327,113,4,4.5,4.5,9.11,1,0.89,High,0.7400000000000002,0,True,False,False
187,317,107,3,3.5,3.0,8.68,1,0.84,High,0.54,0,True,False,False
188,335,118,5,4.5,3.5,9.44,1,0.93,High,0.9000000000000004,0,True,False,False
189,331,115,5,4.5,3.5,9.36,1,0.93,High,0.8200000000000003,0,True,False,False
190,324,112,5,5.0,5.0,9.08,1,0.88,High,0.6800000000000006,0,True,False,False
191,324,111,5,4.5,4.0,9.16,1,0.9,High,0.6800000000000006,0,True,False,False
192,323,110,5,4.0,5.0,8.98,1,0.87,High,0.6600000000000001,0,True,False,False
193,322,114,5,4.5,4.0,8.94,1,0.86,High,0.6400000000000006,0,True,False,False
194,336,118,5,4.5,5.0,9.53,1,0.94,High,0.9199999999999999,0,True,False,False
195,316,109,3,3.5,3.0,8.76,0,0.77,High,0.5200000000000005,0,True,False,False
196,307,107,2,3.0,3.5,8.52,1,0.78,High,0.34000000000000075,0,True,False,False
197,306,105,2,3.0,2.5,8.26,0,0.73,Medium,0.3200000000000003,2,False,False,True
198,310,106,2,3.5,2.5,8.33,0,0.73,Medium,0.40000000000000036,2,False,False,True
199,311,104,3,4.5,4.5,8.43,0,0.7,Medium,0.41999999999999993,2,False,False,True
200,313,107,3,4.0,4.5,8.69,0,0.72,High,0.45999999999999996,0,True,False,False
201,317,103,3,2.5,3.0,8.54,1,0.73,High,0.54,0,True,False,False
202,315,110,2,3.5,3.0,8.46,1,0.72,Medium,0.5,2,False,False,True
203,340,120,5,4.5,4.5,9.91,1,0.97,High,1.0,0,True,False,False
204,334,120,5,4.0,5.0,9.87,1,0.97,High,0.8799999999999999,0,True,False,False
205,298,105,3,3.5,4.0,8.54,0,0.69,High,0.16000000000000014,0,True,False,False
206,295,99,2,2.5,3.0,7.65,0,0.57,Medium,0.10000000000000053,2,False,False,True
207,315,99,2,3.5,3.0,7.89,0,0.63,Medium,0.5,2,False,False,True
208,310,102,3,3.5,4.0,8.02,1,0.66,Medium,0.40000000000000036,2,False,False,True
209,305,106,2,3.0,3.0,8.16,0,0.64,Medium,0.3000000000000007,2,False,False,True
210,301,104,3,3.5,4.0,8.12,1,0.68,Medium,0.22000000000000064,2,False,False,True
211,325,108,4,4.5,4.0,9.06,1,0.79,High,0.7000000000000002,0,True,False,False
212,328,110,4,5.0,4.0,9.14,1,0.82,High,0.7600000000000007,0,True,False,False
213,338,120,4,5.0,5.0,9.66,1,0.95,High,0.96,0,True,False,False
214,333,119,5,5.0,4.5,9.78,1,0.96,High,0.8600000000000003,0,True,False,False
215,331,117,4,4.5,5.0,9.42,1,0.94,High,0.8200000000000003,0,True,False,False
216,330,116,5,5.0,4.5,9.36,1,0.93,High,0.8000000000000007,0,True,False,False
217,322,112,4,4.5,4.5,9.26,1,0.91,High,0.6400000000000006,0,True,False,False
218,321,109,4,4.0,4.0,9.13,1,0.85,High,0.6200000000000001,0,True,False,False
219,324,110,4,3.0,3.5,8.97,1,0.84,High,0.6800000000000006,0,True,False,False
220,312,104,3,3.5,3.5,8.42,0,0.74,Medium,0.4400000000000004,2,False,False,True
221,313,103,3,4.0,4.0,8.75,0,0.76,High,0.45999999999999996,0,True,False,False
222,316,110,3,3.5,4.0,8.56,0,0.75,High,0.5200000000000005,0,True,False,False
223,324,113,4,4.5,4.0,8.79,0,0.76,High,0.6800000000000006,0,True,False,False
224,308,109,2,3.0,4.0,8.45,0,0.71,Medium,0.3600000000000003,2,False,False,True
225,305,105,2,3.0,2.0,8.23,0,0.67,Medium,0.3000000000000007,2,False,False,True
226,296,99,2,2.5,2.5,8.03,0,0.61,Medium,0.1200000000000001,2,False,False,True
227,306,110,2,3.5,4.0,8.45,0,0.63,Medium,0.3200000000000003,2,False,False,True
228,312,110,2,3.5,3.0,8.53,0,0.64,High,0.4400000000000004,0,True,False,False
229,318,112,3,4.0,3.5,8.67,0,0.71,High,0.5600000000000005,0,True,False,False
230,324,111,4,3.0,3.0,9.01,1,0.82,High,0.6800000000000006,0,True,False,False
231,313,104,3,4.0,4.5,8.65,0,0.73,High,0.45999999999999996,0,True,False,False
232,319,106,3,3.5,2.5,8.33,1,0.74,Medium,0.5800000000000001,2,False,False,True
233,312,107,2,2.5,3.5,8.27,0,0.69,Medium,0.4400000000000004,2,False,False,True
234,304,100,2,2.5,3.5,8.07,0,0.64,Medium,0.28000000000000025,2,False,False,True
235,330,113,5,5.0,4.0,9.31,1,0.91,High,0.8000000000000007,0,True,False,False
236,326,111,5,4.5,4.0,9.23,1,0.88,High,0.7200000000000006,0,True,False,False
237,325,112,4,4.0,4.5,9.17,1,0.85,High,0.7000000000000002,0,True,False,False
238,329,114,5,4.5,5.0,9.19,1,0.86,High,0.7800000000000002,0,True,False,False
239,310,104,3,2.0,3.5,8.37,0,0.7,Medium,0.40000000000000036,2,False,False,True
240,299,100,1,1.5,2.0,7.89,0,0.59,Medium,0.1800000000000006,2,False,False,True
241,296,101,1,2.5,3.0,7.68,0,0.6,Medium,0.1200000000000001,2,False,False,True
242,317,103,2,2.5,2.0,8.15,0,0.65,Medium,0.54,2,False,False,True
243,324,115,3,3.5,3.0,8.76,1,0.7,High,0.6800000000000006,0,True,False,False
244,325,114,3,3.5,3.0,9.04,1,0.76,High,0.7000000000000002,0,True,False,False
245,314,107,2,2.5,4.0,8.56,0,0.63,High,0.4800000000000004,0,True,False,False
246,328,110,4,4.0,2.5,9.02,1,0.81,High,0.7600000000000007,0,True,False,False
247,316,105,3,3.0,3.5,8.73,0,0.72,High,0.5200000000000005,0,True,False,False
248,311,104,2,2.5,3.5,8.48,0,0.71,Medium,0.41999999999999993,2,False,False,True
249,324,110,3,3.5,4.0,8.87,1,0.8,High,0.6800000000000006,0,True,False,False
250,321,111,3,3.5,4.0,8.83,1,0.77,High,0.6200000000000001,0,True,False,False
251,320,104,3,3.0,2.5,8.57,1,0.74,High,0.6000000000000005,0,True,False,False
252,316,99,2,2.5,3.0,9.0,0,0.7,High,0.5200000000000005,0,True,False,False
253,318,100,2,2.5,3.5,8.54,1,0.71,High,0.5600000000000005,0,True,False,False
254,335,115,4,4.5,4.5,9.68,1,0.93,High,0.9000000000000004,0,True,False,False
255,321,114,4,4.0,5.0,9.12,0,0.85,High,0.6200000000000001,0,True,False,False
256,307,110,4,4.0,4.5,8.37,0,0.79,Medium,0.34000000000000075,2,False,False,True
257,309,99,3,4.0,4.0,8.56,0,0.76,High,0.3799999999999999,0,True,False,False
258,324,100,3,4.0,5.0,8.64,1,0.78,High,0.6800000000000006,0,True,False,False
259,326,102,4,5.0,5.0,8.76,1,0.77,High,0.7200000000000006,0,True,False,False
260,331,119,4,5.0,4.5,9.34,1,0.9,High,0.8200000000000003,0,True,False,False
261,327,108,5,5.0,3.5,9.13,1,0.87,High,0.7400000000000002,0,True,False,False
262,312,104,3,3.5,4.0,8.09,0,0.71,Medium,0.4400000000000004,2,False,False,True
263,308,103,2,2.5,4.0,8.36,1,0.7,Medium,0.3600000000000003,2,False,False,True
264,324,111,3,2.5,1.5,8.79,1,0.7,High,0.6800000000000006,0,True,False,False
265,325,110,2,3.0,2.5,8.76,1,0.75,High,0.7000000000000002,0,True,False,False
266,313,102,3,2.5,2.5,8.68,0,0.71,High,0.45999999999999996,0,True,False,False
267,312,105,2,2.0,2.5,8.45,0,0.72,Medium,0.4400000000000004,2,False,False,True
268,314,107,3,3.0,3.5,8.17,1,0.73,Medium,0.4800000000000004,2,False,False,True
269,327,113,4,4.5,5.0,9.14,0,0.83,High,0.7400000000000002,0,True,False,False
270,308,108,4,4.5,5.0,8.34,0,0.77,Medium,0.3600000000000003,2,False,False,True
271,306,105,2,2.5,3.0,8.22,1,0.72,Medium,0.3200000000000003,2,False,False,True
272,299,96,2,1.5,2.0,7.86,0,0.54,Medium,0.1800000000000006,2,False,False,True
273,294,95,1,1.5,1.5,7.64,0,0.49,Medium,0.08000000000000007,2,False,False,True
274,312,99,1,1.0,1.5,8.01,1,0.52,Medium,0.4400000000000004,2,False,False,True
275,315,100,1,2.0,2.5,7.95,0,0.58,Medium,0.5,2,False,False,True
276,322,110,3,3.5,3.0,8.96,1,0.78,High,0.6400000000000006,0,True,False,False
277,329,113,5,5.0,4.5,9.45,1,0.89,High,0.7800000000000002,0,True,False,False
278,320,101,2,2.5,3.0,8.62,0,0.7,High,0.6000000000000005,0,True,False,False
279,308,103,2,3.0,3.5,8.49,0,0.66,Medium,0.3600000000000003,2,False,False,True
280,304,102,2,3.0,4.0,8.73,0,0.67,High,0.28000000000000025,0,True,False,False
281,311,102,3,4.5,4.0,8.64,1,0.68,High,0.41999999999999993,0,True,False,False
282,317,110,3,4.0,4.5,9.11,1,0.8,High,0.54,0,True,False,False
283,312,106,3,4.0,3.5,8.79,1,0.81,High,0.4400000000000004,0,True,False,False
284,321,111,3,2.5,3.0,8.9,1,0.8,High,0.6200000000000001,0,True,False,False
285,340,112,4,5.0,4.5,9.66,1,0.94,High,1.0,0,True,False,False
286,331,116,5,4.0,4.0,9.26,1,0.93,High,0.8200000000000003,0,True,False,False
287,336,118,5,4.5,4.0,9.19,1,0.92,High,0.9199999999999999,0,True,False,False
288,324,114,5,5.0,4.5,9.08,1,0.89,High,0.6800000000000006,0,True,False,False
289,314,104,4,5.0,5.0,9.02,0,0.82,High,0.4800000000000004,0,True,False,False
290,313,109,3,4.0,3.5,9.0,0,0.79,High,0.45999999999999996,0,True,False,False
291,307,105,2,2.5,3.0,7.65,0,0.58,Medium,0.34000000000000075,2,False,False,True
292,300,102,2,1.5,2.0,7.87,0,0.56,Medium,0.20000000000000018,2,False,False,True
293,302,99,2,1.0,2.0,7.97,0,0.56,Medium,0.2400000000000002,2,False,False,True
294,312,98,1,3.5,3.0,8.18,1,0.64,Medium,0.4400000000000004,2,False,False,True
295,316,101,2,2.5,2.0,8.32,1,0.61,Medium,0.5200000000000005,2,False,False,True
296,317,100,2,3.0,2.5,8.57,0,0.68,High,0.54,0,True,False,False
297,310,107,3,3.5,3.5,8.67,0,0.76,High,0.40000000000000036,0,True,False,False
298,320,120,3,4.0,4.5,9.11,0,0.86,High,0.6000000000000005,0,True,False,False
299,330,114,3,4.5,4.5,9.24,1,0.9,High,0.8000000000000007,0,True,False,False
300,305,112,3,3.0,3.5,8.65,0,0.71,High,0.3000000000000007,0,True,False,False
301,309,106,2,2.5,2.5,8.0,0,0.62,Medium,0.3799999999999999,2,False,False,True
302,319,108,2,2.5,3.0,8.76,0,0.66,High,0.5800000000000001,0,True,False,False
303,322,105,2,3.0,3.0,8.45,1,0.65,Medium,0.6400000000000006,2,False,False,True
304,323,107,3,3.5,3.5,8.55,1,0.73,High,0.6600000000000001,0,True,False,False
